symbol,interval,variant_id,direction,threshold,regime,volume_multiplier,atr_max_pct,tp_pct,sl_pct,time_stop_min,weekly_loss_stop_pct,score,return_1d,return_7d,return_30d,return_60d,return_90d,return_180d,return_365d,dd_365d,pf_365d,trades_365d
RIFUSDT,1h,long_th60_base_vm1.5_atr0.05_tp0.02_sl0.08_t1440_wk0,long,60,base,1.5,0.05,0.02,0.08,1440,,152.2654533837843,0.0,0.0,-1.4226661441137378,1.484166187001823,3.4728499076022823,12.172398131593898,6.22126180095246,9.748519618676486,1.1502744537066598,46
ANKRUSDT,5m,long_th60_wide_vm1.5_atr0.025_tp0.01_sl0.04_t360_wk2,long,60,wide,1.5,0.025,0.01,0.04,360,0.02,151.68567496876366,0.0,0.0,-2.123116561114058,11.489271728566997,7.7849573498235625,12.337341171174465,16.89051247697293,16.206600058728014,1.0814188758875283,346
ANKRUSDT,5m,long_th60_wide_vm1.5_atr0.05_tp0.01_sl0.04_t360_wk2,long,60,wide,1.5,0.05,0.01,0.04,360,0.02,151.68567496876366,0.0,0.0,-2.123116561114058,11.489271728566997,7.7849573498235625,12.337341171174465,16.89051247697293,16.206600058728014,1.0814188758875283,346
ANKRUSDT,5m,long_th60_wide_vm1.5_atr0.025_tp0.01_sl0.06_t360_wk2,long,60,wide,1.5,0.025,0.01,0.06,360,0.02,148.51629405502194,0.0,0.0,-0.14861513435975304,14.13131257754121,7.668040515313179,15.208761169003582,17.826423947206926,19.496702869486533,1.0862221566712986,348
ANKRUSDT,5m,long_th60_wide_vm1.5_atr0.05_tp0.01_sl0.06_t360_wk2,long,60,wide,1.5,0.05,0.01,0.06,360,0.02,148.51629405502194,0.0,0.0,-0.14861513435975304,14.13131257754121,7.668040515313179,15.208761169003582,17.826423947206926,19.496702869486533,1.0862221566712986,348
RIFUSDT,5m,short_th60_base_vm1.5_atr0.025_tp0.01_sl0.06_t720_wk0,short,60,base,1.5,0.025,0.01,0.06,720,,145.18100427518954,4.15061136599455,-2.1413353678479186,-6.559950555460913,-4.177106365956817,0.7192244015649774,7.64158363495524,48.75866513700373,20.631804107834053,1.1006088663249811,594
RIFUSDT,5m,short_th60_base_vm1.5_atr0.05_tp0.01_sl0.06_t720_wk0,short,60,base,1.5,0.05,0.01,0.06,720,,145.18100427518954,4.15061136599455,-2.1413353678479186,-6.559950555460913,-4.177106365956817,0.7192244015649774,7.64158363495524,48.75866513700373,20.631804107834053,1.1006088663249811,594
MOVRUSDT,1h,short_th50_wide_vm1.5_atr0.05_tp0.035_sl0.05_t1440_wk2,short,50,wide,1.5,0.05,0.035,0.05,1440,0.02,139.2949919929677,-0.7814442778610764,-0.7814442778610764,-6.2890790815906765,-9.655250571108986,0.05277883041621134,-5.39460811570277,57.90554769242136,14.144910043194603,1.3887768806743253,86
MOVRUSDT,1h,short_th50_wide_vm1.5_atr0.025_tp0.035_sl0.05_t1440_wk2,short,50,wide,1.5,0.025,0.035,0.05,1440,0.02,133.58768665583733,-0.7814442778610764,-0.7814442778610764,-6.2890790815906765,-9.655250571108986,0.05277883041621134,-5.39460811570277,52.62369932971773,14.144910043194628,1.3604130823792133,85
MOVRUSDT,5m,short_th60_base_vm1.5_atr0.025_tp0.03_sl0.06_t720_wk0,short,60,base,1.5,0.025,0.03,0.06,720,,133.03879486368734,2.960600000000002,-7.830182098670157,-20.54752212219706,-16.930111405414962,-0.5480666987280669,19.012271202387154,74.73328614215238,28.698367687163444,1.1157168261639328,421
