symbol,coin,data_start,data_end,return_1d_pct,return_3d_pct,return_7d_pct,return_14d_pct,return_30d_pct,range_3d_pct,range_7d_pct,range_14d_pct,quote_volume_7d_avg,quote_volume_14d_avg,volume_ratio_7d,volume_ratio_14d,hot_score,hot_reasons,is_hot,direction,threshold,regime,tp_pct,sl_pct,time_stop_min,base_7d_return_pct,base_7d_trades,base_7d_pf,base_7d_dd_pct,strict_7d_return_pct,strict_7d_trades,strict_7d_pf,strict_7d_dd_pct,taker_7d_return_pct,taker_7d_trades,taker_7d_pf,taker_7d_dd_pct,base_14d_return_pct,strict_14d_return_pct,taker_14d_return_pct,base_30d_return_pct,strict_30d_return_pct,taker_30d_return_pct,decision
ALCHUSDT,ALCH,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,8.815078726583137,18.929782690616758,20.45801526717557,32.27158424140821,46.95017848828185,29.387702927265778,36.15819209039548,43.04691916336913,2331476.5762557173,1837042.9984457118,0.683478165718887,0.5134116151064403,53.03325019429285,3d move;7d move;3d range,True,long,50,wide,0.012,0.04,90,15.184929717859742,43,1.7868646270360387,5.082863824281693,18.13121038968335,36,2.3576973111005883,2.5142874721591877,12.060069647456718,39,1.6777760529337784,5.3482668984592765,31.30317931602975,39.28171805533665,25.138627842359096,37.65340926603351,40.63671198046743,28.233368256253932,ready
ZENUSDT,ZEN,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,14.07884151246983,21.884132714457614,16.077275703994776,22.834372834372818,37.29666924864448,26.687598116169543,32.03053990183602,32.03053990183602,16043267.958285743,14279783.099542866,1.1320198092968787,1.0381638408468705,60.554813408285725,3d move;3d range,True,long,50,wide,0.012,0.04,120,13.294734723497914,17,4.475186534697414,3.4692371377882973,13.521653414058399,17,4.580820807871399,3.4209376065915937,12.057565444973806,17,4.0564307351573445,3.5471560117308245,14.226357170847614,15.40151740961857,12.55048569624746,26.623196548720717,33.79436999437995,22.93243539943173,ready
TRADOORUSDT,TRADOOR,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,13.032413608357874,14.70708169090662,3.800738007380078,-87.7943303442291,-73.45391632588864,28.622117090479016,30.827067669172912,1448.8721804511279,27031064.796828542,65862571.53555721,0.44687240450339016,1.6677330547489893,90.01279665698787,3d move;3d range,True,long,50,wide,0.012,0.04,120,14.946922278890607,26,2.6267360828458233,4.039200000000017,13.970650924967941,25,2.5653419348458413,4.0391999999999975,13.03423655519833,26,2.360145949797856,4.097592319999994,32.515794262009564,28.459133894358235,30.30506576745864,29.15737176861071,31.132984946914544,25.511525918621757,ready
REZUSDT,REZ,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,2.232667450058745,14.173228346456689,30.239520958083823,44.47827290340438,57.94251134644477,36.01505528111033,49.79274611398963,60.121849903073944,9178121.394403538,6424707.578181156,1.8014353417009972,1.1846899567541576,71.04341689928802,3d move;7d move;3d range;7d range,True,long,50,wide,0.012,0.04,90,14.221890564130613,32,2.0825100591846737,4.02323958381121,6.046985173299024,24,1.4668187287417476,5.046594610585385,8.0842387174346,26,1.6370190234921456,4.177537970060237,19.791180806519936,14.652269406979212,11.845871986162404,43.00236108057873,29.238607183145238,26.180713792637754,ready
SHELLUSDT,SHELL,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,2.401689100026405,14.319387153800832,15.820895522388057,25.282531482079442,29.290236587804074,30.17751479289941,35.635018495684356,42.53320375769354,2449773.035367142,2166228.129375002,1.255923219447833,1.2342642413963325,54.28193803370804,3d move;3d range,True,long,50,wide,0.007,0.04,120,10.33555648429565,55,1.4698955396320474,4.208791569339658,8.834595234869692,55,1.3946708287085356,4.744027148587053,7.144780953616281,54,1.333511311678251,5.418176621926538,23.052569359106243,18.523127078508516,17.457996304890024,39.29547403516644,28.371485381503668,23.21203700607155,ready
PIEVERSEUSDT,PIEVERSE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-3.0862496555524865,4.269196560924993,-6.982279820153392,-40.601249788887,32.49199472593709,28.231501381639546,29.413570770647834,196.8960863697706,17706916.88362853,144514432.97873557,0.19438425027847864,5.099309440623649,88.2007141650783,3d range;volume spike,True,long,60,base,0.01,0.04,90,16.348087004184396,47,1.9256159680482476,3.3413735590481775,22.22686916529728,44,2.7174908760705,2.6596875590967217,8.11666246841989,46,1.405420114297866,3.496628001073848,19.173117125289174,25.780156912699837,10.388392773897825,29.742152949869414,28.256750784757358,17.163692926764163,ready
BIOUSDT,BIO,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,5.0921098366353945,46.5228979888539,101.63387795931978,116.19592420450485,253.21261682242994,69.53506293347034,141.6697180519956,149.71623155505108,233659074.60333773,140326948.39279896,4.084087740647073,2.9423438386691556,100.0,3d move;7d move;3d range;7d range;volume spike,True,long,50,wide,0.012,0.04,90,20.032807963714315,42,2.1801166557872773,7.138240550964202,22.688096483085097,42,2.3952047655203574,6.609292617185665,11.438056005180353,42,1.539289156501245,8.732983097832317,7.446776717544457,11.270073383067869,-3.3748580588215504,21.20129160559174,27.758502436900013,6.666874640428144,ready
RIFUSDT,RIF,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-2.032264822962493,-14.531164320965084,4.258639910813833,6.9778082818577,32.090395480225986,21.701199563794994,25.423728813559322,37.80936045086989,3243709.773975734,2281379.8185428656,1.9550899624553018,1.2651395041583617,57.30343168661373,3d move,True,long,50,wide,0.012,0.04,90,8.446388326954724,32,1.6321932825096355,4.443848957796772,15.290293837055668,38,2.5021461487929857,4.191305383305808,5.2398014338070675,30,1.384839031462848,4.758658998738732,0.057801500682863605,11.925622388498859,-5.760427885922514,14.948649184268348,25.76154439974625,5.158059265428516,ready
MERLUSDT,MERL,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,6.024096385542177,18.809450751764324,-5.121293800539084,2.0558777016341567,80.5128205128205,30.567260940032437,39.28687196110212,57.95786061588333,5852726.084040003,11716578.684502123,0.5764980884547742,1.7168510677385458,66.05965444190328,3d move;3d range,True,long,70,base,0.012,0.04,180,17.65344397493567,21,4.708032872843726,3.0351159244714716,11.228845573070956,16,3.526567822021897,2.9380584401564587,15.621418735251824,22,3.3858512270217522,4.706645091761145,29.275337515218492,22.472795483588072,25.62245745160643,35.12099870367344,25.21769555800384,30.70122728642928,ready
PARTIUSDT,PARTI,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,23.32677165354329,23.357125276889,22.45296848277547,28.776978417266164,-41.235783796459145,29.779227295534373,33.53123386680434,33.53123386680434,11648783.190805698,8393738.251377843,1.1725029051152345,0.6918404884746703,65.0656867609244,3d move;7d move;3d range,True,long,50,wide,0.007,0.04,120,17.90590638208065,36,4.32740750800471,2.6647157996146555,17.253760117349692,32,5.346482229121372,2.616013806517923,15.319908792709903,36,3.739962174892982,2.743117289836836,20.999977521819368,22.267446948475023,15.238852741991948,22.92575074587997,24.796826503987468,15.788437817496948,ready
